2015-12-01 17:43:18,602 [Worker-9] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: EmployeeManagement:EmployeeManagement:0.0.1-SNAPSHOT @ D:\Prakhar.jain\JspDemo\EmployeeManagement\pom.xml.
2015-12-01 17:43:21,190 [Worker-9] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /EmployeeManagement/src
2015-12-01 17:43:21,221 [Worker-9] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /EmployeeManagement/src/test/java because it overlaps with /EmployeeManagement/src
2015-12-01 17:43:21,939 [Worker-9] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2015-12-01 17:43:22,952 [Worker-9] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: EmployeeManagement:EmployeeManagement:0.0.1-SNAPSHOT @ D:\Prakhar.jain\JspDemo\EmployeeManagement\pom.xml.
2015-12-01 17:43:24,792 [Worker-9] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /EmployeeManagement/src
2015-12-01 17:43:24,792 [Worker-9] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /EmployeeManagement/src/test/java because it overlaps with /EmployeeManagement/src
2015-12-01 17:43:25,057 [Worker-9] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for EmployeeManagement
2015-12-01 17:43:25,120 [Worker-9] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 3 sec
2015-12-01 17:43:25,416 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-01 17:43:25,416 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Prakhar.jain\JspDemo\EmployeeManagement\src\main\resources
2015-12-01 17:43:25,432 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-12-01 17:43:25,432 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Prakhar.jain\JspDemo\EmployeeManagement\src\test\resources
2015-12-01 17:43:25,432 [Worker-0] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of EmployeeManagement
2015-12-01 17:43:25,432 [Worker-0] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for EmployeeManagement
2015-12-01 17:43:25,447 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.maven.plugins:maven-clean-plugin:jar:2.5 is missing, no dependency information available
2015-12-01 17:43:25,463 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
